0	1	2	3	4	5
http://pfam.xfam.org/family/PF00407	scaffold19738:36220-39922	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.2-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.2;Dbxref=PFAM:PF00407,SUPERFAMILY:SSF55961,InterPro:IPR000916;Name=kiro_2;Ontology_term=GO:0006952,GO:0009607;_AED=0.02;_QI=0|0|0|1|0|0|2|0|154;_eAED=0.02;product=Kirola 	PF00407	4	Defense, Resistance, 
http://pfam.xfam.org/family/PF00101	scaffold25850:40159-42400	ID=maker-scaffold25850-exonerate_protein2genome-gene-0.3-mRNA-1;Parent=maker-scaffold25850-exonerate_protein2genome-gene-0.3;Dbxref=PFAM:PF00101,PFAM:PF12338,SUPERFAMILY:SSF55239,InterPro:IPR000894,InterPro:IPR024680;Name=rbcs-1_2;_AED=0.12;_QI=0|0|0|1|0|0|5|0|180;_eAED=0.12;product=Ribulose 	PF00101	2	Signal, Kinase, 
http://pfam.xfam.org/family/PF00098	scaffold19719:42355-43263	ID=maker-scaffold19719-exonerate_protein2genome-gene-0.1-mRNA-1;Parent=maker-scaffold19719-exonerate_protein2genome-gene-0.1;Dbxref=PFAM:PF00098,PFAM:PF03732,SUPERFAMILY:SSF57756,InterPro:IPR001878,InterPro:IPR005162;Name=polx_172;Ontology_term=GO:0003676,GO:0008270;_AED=0.06;_QI=0|0|0|1|0|0|2|0|284;_eAED=0.06;product=Retrovirus-related 	PF00098	3	WRKY, Embryo, 
http://pfam.xfam.org/family/PF00407	scaffold19738:43373-44623	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.18-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.18;Dbxref=PFAM:PF00407,SUPERFAMILY:SSF55961,InterPro:IPR000916;Name=mlp31_2;Ontology_term=GO:0006952,GO:0009607;_AED=0.47;_QI=0|0|0|1|0|0|2|0|156;_eAED=0.47;product=MLP-like 	PF00407	4	Defense, Resistance, 
http://pfam.xfam.org/family/PF07859	scaffold26666:44518-45456	ID=maker-scaffold26666-exonerate_protein2genome-gene-0.4-mRNA-1;Parent=maker-scaffold26666-exonerate_protein2genome-gene-0.4;Dbxref=PFAM:PF07859,SUPERFAMILY:SSF53474,InterPro:IPR013094,InterPro:IPR029058;Name=cxe17_4;Ontology_term=GO:0008152,GO:0016787;_AED=0.00;_QI=0|-1|0|1|-1|0|1|0|312;_eAED=0.00;product=Probable 	PF07859	0	None
http://pfam.xfam.org/family/PF00270	scaffold26666:49873-57667	ID=evm-scaffold26666-processed-gene-0.38-mRNA-1;Parent=evm-scaffold26666-processed-gene-0.38;Dbxref=PFAM:PF00270,PFAM:PF00271,SUPERFAMILY:SSF52540,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR027417;Name=rh56;Ontology_term=GO:0003676,GO:0005524;_AED=0.09;_QI=287|1|1|1|0.81|0.83|12|612|428;_eAED=0.09;product=DEAD-box 	PF00270	0	None
http://pfam.xfam.org/family/PF13650	scaffold13756:52513-53508	ID=maker-scaffold13756-exonerate_protein2genome-gene-0.15-mRNA-1;Parent=maker-scaffold13756-exonerate_protein2genome-gene-0.15;Dbxref=PFAM:PF13650,SUPERFAMILY:SSF50630,InterPro:IPR021109;Name=ddi1_20;_AED=0.46;_QI=0|0|0|1|0|0|4|0|238;_eAED=0.46;product=DNA 	PF13650	1	Protease, 
http://pfam.xfam.org/family/PF00407	scaffold19738:55722-56755	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.19-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.19;Dbxref=PFAM:PF00407,SUPERFAMILY:SSF55961,InterPro:IPR000916;Name=mlp31_4;Ontology_term=GO:0006952,GO:0009607;_AED=0.47;_QI=6|1|0.5|1|0|0|2|0|155;_eAED=0.47;product=MLP-like 	PF00407	4	Defense, Resistance, 
http://pfam.xfam.org/family/PF14580	scaffold12163:58168-74947	ID=evm-scaffold12163-processed-gene-0.107-mRNA-1;Parent=evm-scaffold12163-processed-gene-0.107;Dbxref=PFAM:PF14580,SUPERFAMILY:SSF52058,InterPro:IPR032675;Name=at1g09760_2;_AED=0.41;_QI=0|0|0|1|1|0.8|5|0|201;_eAED=0.42;product=U2 	PF14580	2	Defense, 
http://pfam.xfam.org/family/PF05664	scaffold33615:59345-59533	ID=evm-scaffold33615-processed-gene-0.17-mRNA-1;Parent=evm-scaffold33615-processed-gene-0.17;Dbxref=PFAM:PF05664,InterPro:IPR008528;Name=s3_4;_AED=0.48;_QI=0|-1|0|1|-1|0|1|0|63;_eAED=0.48;product=Core 	PF05664	1	Signal, 
http://pfam.xfam.org/family/PF00230	scaffold5217:61235-65378	ID=evm-scaffold5217-processed-gene-0.0-mRNA-1;Parent=evm-scaffold5217-processed-gene-0.0;Dbxref=PFAM:PF00230,SUPERFAMILY:SSF81338,InterPro:IPR000425,InterPro:IPR023271;Name=pip1.4_2;Ontology_term=GO:0005215,GO:0006810,GO:0016020;_AED=0.44;_QI=420|1|1|1|0.33|0.5|4|328|285;_eAED=0.44;product=Probable 	PF00230	1	Signal, 
http://pfam.xfam.org/family/PF00190	scaffold1723:61495-62121	ID=maker-scaffold1723-exonerate_protein2genome-gene-0.17-mRNA-1;Parent=maker-scaffold1723-exonerate_protein2genome-gene-0.17;Dbxref=PFAM:PF00190,SUPERFAMILY:SSF51182,InterPro:IPR006045,InterPro:IPR011051;Name=abp19a_8;Ontology_term=GO:0045735;_AED=0.47;_QI=0|0|0|1|0|0|2|0|166;_eAED=0.47;product=Auxin-binding 	PF00190	3	Resistance, Embryo, 
http://pfam.xfam.org/family/PF05664	scaffold33615:62512-68911	ID=evm-scaffold33615-processed-gene-0.18-mRNA-1;Parent=evm-scaffold33615-processed-gene-0.18;Dbxref=PFAM:PF02485,PFAM:PF05664,InterPro:IPR003406,InterPro:IPR008528;Name=37;Ontology_term=GO:0008375,GO:0016020;_AED=0.41;_QI=294|1|0.88|1|0.5|0.55|9|0|166;_eAED=0.41;product=Alkaline 	PF05664	1	Signal, 
http://pfam.xfam.org/family/PF01535	scaffold19738:66773-76422	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.21-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.21;Dbxref=PFAM:PF01535,PFAM:PF14432,InterPro:IPR002885,InterPro:IPR032867;Name=pcmp-h75;Ontology_term=GO:0008270;_AED=0.33;_QI=305|1|1|1|0|0|3|109|646;_eAED=0.33;product=Pentatricopeptide 	PF01535	0	None
http://pfam.xfam.org/family/PF07716	scaffold15066:68112-68921	ID=maker-scaffold15066-exonerate_protein2genome-gene-0.44-mRNA-1;Parent=maker-scaffold15066-exonerate_protein2genome-gene-0.44;Dbxref=PFAM:PF07716,SUPERFAMILY:SSF57959,InterPro:IPR004827;Name=abf1;Ontology_term=GO:0003700,GO:0006355,GO:0043565;_AED=0.00;_QI=0|-1|0|1|-1|0|1|0|269;_eAED=0.00;product=ABSCISIC 	PF07716	2	WRKY, 
http://pfam.xfam.org/family/PF00013	scaffold25850:70769-73984	ID=evm-scaffold25850-processed-gene-0.1-mRNA-1;Parent=evm-scaffold25850-processed-gene-0.1;Dbxref=PFAM:PF00013,SUPERFAMILY:SSF54791,InterPro:IPR004088;Name=at4g18375_7;Ontology_term=GO:0003723;_AED=0.27;_QI=0|0|0|1|1|0.75|4|0|330;_eAED=0.27;product=KH 	PF00013	0	None
http://pfam.xfam.org/family/PF00248	scaffold12163:78664-79887	ID=evm-scaffold12163-processed-gene-0.118-mRNA-1;Parent=evm-scaffold12163-processed-gene-0.118;Dbxref=PFAM:PF00248,SUPERFAMILY:SSF51430,InterPro:IPR023210;Name=kab1;_AED=0.45;_QI=211|1|1|1|0|0.33|3|205|98;_eAED=0.45;product=Probable 	PF00248	0	None
http://pfam.xfam.org/family/PF00566	scaffold15066:87441-98840	ID=evm-scaffold15066-processed-gene-0.87-mRNA-1;Parent=evm-scaffold15066-processed-gene-0.87;Dbxref=PFAM:PF00566,SUPERFAMILY:SSF47923,InterPro:IPR000195;Name=evi5l;_AED=0.10;_QI=398|1|1|1|0.71|0.75|8|241|433;_eAED=0.10;product=EVI5-like 	PF00566	1	Signal, 
http://pfam.xfam.org/family/PF03478	scaffold1723:87884-88882	ID=maker-scaffold1723-exonerate_protein2genome-gene-0.19-mRNA-1;Parent=maker-scaffold1723-exonerate_protein2genome-gene-0.19;Dbxref=PFAM:PF03478,SUPERFAMILY:SSF50965,InterPro:IPR005174,InterPro:IPR011043;Name=at1g57790_4;_AED=0.44;_QI=0|-1|0|1|-1|0|1|0|332;_eAED=0.44;product=F-box/kelch-repeat 	PF03478	1	Signal, 
http://pfam.xfam.org/family/PF00867	scaffold11953:97305-100785	ID=evm-scaffold11953-processed-gene-0.90-mRNA-1;Parent=evm-scaffold11953-processed-gene-0.90;Dbxref=PFAM:PF00867,SUPERFAMILY:SSF47807,SUPERFAMILY:SSF88723,InterPro:IPR006086,InterPro:IPR020045,InterPro:IPR029060;Name=uvh3_4;Ontology_term=GO:0003677,GO:0003824,GO:0004518;_AED=0.39;_QI=86|0|0|1|1|1|6|0|331;_eAED=0.44;product=DNA 	PF00867	0	None
http://pfam.xfam.org/family/PF00069	scaffold26666:101281-106657	ID=evm-scaffold26666-processed-gene-0.36-mRNA-1;Parent=evm-scaffold26666-processed-gene-0.36;Dbxref=PFAM:PF00069,PFAM:PF00139,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR011009,InterPro:IPR013320;Name=lecrk91_5;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0030246;_AED=0.23;_QI=178|1|1|1|0|0.33|3|33|679;_eAED=0.23;product=L-type 	PF00069	4	Apoptosis, Signal, Kinase, Embryo, 
http://pfam.xfam.org/family/PF00139	scaffold26666:101281-106657	ID=evm-scaffold26666-processed-gene-0.36-mRNA-1;Parent=evm-scaffold26666-processed-gene-0.36;Dbxref=PFAM:PF00069,PFAM:PF00139,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR011009,InterPro:IPR013320;Name=lecrk91_5;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0030246;_AED=0.23;_QI=178|1|1|1|0|0.33|3|33|679;_eAED=0.23;product=L-type 	PF00139	0	None
http://pfam.xfam.org/family/PF13180	scaffold12163:104168-139066	ID=evm-scaffold12163-processed-gene-0.119-mRNA-1;Parent=evm-scaffold12163-processed-gene-0.119;Dbxref=PFAM:PF13180,PFAM:PF13365,SUPERFAMILY:SSF50156,SUPERFAMILY:SSF50494,InterPro:IPR001478,InterPro:IPR009003;Name=degp8_3;Ontology_term=GO:0005515;_AED=0.23;_QI=70|1|1|1|0.83|0.84|13|383|454;_eAED=0.23;product=Protease 	PF13180	5	Apoptosis, Cell death, Signal, Kinase, Embryo, 
http://pfam.xfam.org/family/PF03372	scaffold5217:108352-109302	ID=maker-scaffold5217-exonerate_protein2genome-gene-0.66-mRNA-1;Parent=maker-scaffold5217-exonerate_protein2genome-gene-0.66;Dbxref=PFAM:PF03372,SUPERFAMILY:SSF56219,InterPro:IPR005135;Name=adam22;_AED=0.44;_QI=0|-1|0|1|-1|0|1|0|316;_eAED=0.54;product=Disintegrin 	PF03372	2	Signal, Kinase, 
http://pfam.xfam.org/family/PF00643	scaffold26666:114865-128421	ID=evm-scaffold26666-processed-gene-0.37-mRNA-1;Parent=evm-scaffold26666-processed-gene-0.37;Dbxref=PFAM:PF00643,PFAM:PF04640,SUPERFAMILY:SSF57845,InterPro:IPR000315,InterPro:IPR006734;Name=at3g50808_2;Ontology_term=GO:0005622,GO:0008270;_AED=0.14;_QI=487|1|1|1|0.83|0.84|13|520|427;_eAED=0.14;product=Uncharacterized 	PF00643	0	None
http://pfam.xfam.org/family/PF00101	scaffold19738:120553-122028	ID=maker-scaffold19738-exonerate_protein2genome-gene-0.26-mRNA-1;Parent=maker-scaffold19738-exonerate_protein2genome-gene-0.26;Dbxref=PFAM:PF00101,PFAM:PF12338,SUPERFAMILY:SSF55239,InterPro:IPR000894,InterPro:IPR024680;Name=rbcs3_2;_AED=0.08;_QI=0|0|0|1|0|0|4|0|181;_eAED=0.08;product=Ribulose 	PF00101	2	Signal, Kinase, 
http://pfam.xfam.org/family/PF00560	scaffold1723:122458-124193	ID=evm-scaffold1723-processed-gene-0.7-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.7;Dbxref=PFAM:PF00560,PFAM:PF08263,PFAM:PF13516,PFAM:PF13855,SUPERFAMILY:SSF52058,InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675;Name=erecta_4;Ontology_term=GO:0005515;_AED=0.40;_QI=0|0.66|0.5|1|1|0.9|10|0|264;_eAED=0.40;product=LRR 	PF00560	2	Defense, 
http://pfam.xfam.org/family/PF00560	scaffold1723:122458-124193	ID=evm-scaffold1723-processed-gene-0.7-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.7;Dbxref=PFAM:PF00560,PFAM:PF08263,PFAM:PF13516,PFAM:PF13855,SUPERFAMILY:SSF52058,InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675;Name=erecta_4;Ontology_term=GO:0005515;_AED=0.40;_QI=0|0.66|0.5|1|1|0.9|10|0|264;_eAED=0.40;product=LRR 	PF00560	2	Kinase, Protease, 
http://pfam.xfam.org/family/PF08263	scaffold1723:122458-124193	ID=evm-scaffold1723-processed-gene-0.7-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.7;Dbxref=PFAM:PF00560,PFAM:PF08263,PFAM:PF13516,PFAM:PF13855,SUPERFAMILY:SSF52058,InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675;Name=erecta_4;Ontology_term=GO:0005515;_AED=0.40;_QI=0|0.66|0.5|1|1|0.9|10|0|264;_eAED=0.40;product=LRR 	PF08263	2	Defense, 
http://pfam.xfam.org/family/PF13516	scaffold1723:122458-124193	ID=evm-scaffold1723-processed-gene-0.7-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.7;Dbxref=PFAM:PF00560,PFAM:PF08263,PFAM:PF13516,PFAM:PF13855,SUPERFAMILY:SSF52058,InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675;Name=erecta_4;Ontology_term=GO:0005515;_AED=0.40;_QI=0|0.66|0.5|1|1|0.9|10|0|264;_eAED=0.40;product=LRR 	PF13516	2	Defense, 
http://pfam.xfam.org/family/PF13855	scaffold1723:122458-124193	ID=evm-scaffold1723-processed-gene-0.7-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.7;Dbxref=PFAM:PF00560,PFAM:PF08263,PFAM:PF13516,PFAM:PF13855,SUPERFAMILY:SSF52058,InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675;Name=erecta_4;Ontology_term=GO:0005515;_AED=0.40;_QI=0|0.66|0.5|1|1|0.9|10|0|264;_eAED=0.40;product=LRR 	PF13855	2	Defense, 
http://pfam.xfam.org/family/PF00069	scaffold1723:125086-130548	ID=evm-scaffold1723-processed-gene-0.11-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.11;Dbxref=PFAM:PF00069,PFAM:PF13855,SUPERFAMILY:SSF52058,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001611,InterPro:IPR011009,InterPro:IPR032675;Name=erecta_3;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0005515;_AED=0.23;_QI=52|0.64|0.4|1|0.92|0.93|15|232|651;_eAED=0.25;product=LRR 	PF00069	4	Apoptosis, Signal, Kinase, Embryo, 
http://pfam.xfam.org/family/PF13855	scaffold1723:125086-130548	ID=evm-scaffold1723-processed-gene-0.11-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.11;Dbxref=PFAM:PF00069,PFAM:PF13855,SUPERFAMILY:SSF52058,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR001611,InterPro:IPR011009,InterPro:IPR032675;Name=erecta_3;Ontology_term=GO:0004672,GO:0005524,GO:0006468,GO:0005515;_AED=0.23;_QI=52|0.64|0.4|1|0.92|0.93|15|232|651;_eAED=0.25;product=LRR 	PF13855	2	Defense, 
http://pfam.xfam.org/family/PF01095	scaffold11953:132643-134038	ID=evm-scaffold11953-processed-gene-0.85-mRNA-1;Parent=evm-scaffold11953-processed-gene-0.85;Dbxref=PFAM:PF01095,SUPERFAMILY:SSF51126,InterPro:IPR000070,InterPro:IPR011050;Name=al11a;Ontology_term=GO:0005618,GO:0030599,GO:0042545;_AED=0.17;_QI=0|0|0|1|1|0.33|3|0|265;_eAED=0.17;product=Pectinesterase 	PF01095	2	Signal, Kinase, 
http://pfam.xfam.org/family/PF00078	scaffold7599:148421-148978	ID=evm-scaffold7599-processed-gene-0.18-mRNA-1;Parent=evm-scaffold7599-processed-gene-0.18;Dbxref=PFAM:PF00078,SUPERFAMILY:SSF56672,InterPro:IPR000477;Name=ytx2_230;_AED=0.47;_QI=0|-1|0|1|-1|0|1|0|186;_eAED=0.47;product=Transposon 	PF00078	6	Defense, Resistance, Kinase, Protease, 
http://pfam.xfam.org/family/PF07795	scaffold12163:154934-156686	ID=maker-scaffold12163-exonerate_protein2genome-gene-0.67-mRNA-1;Parent=maker-scaffold12163-exonerate_protein2genome-gene-0.67;Dbxref=PFAM:PF07795,InterPro:IPR012862;Name=rh2b_4;_AED=0.00;_QI=250|0|0.5|1|0|0|2|611|254;_eAED=0.00;product=Reticulocyte 	PF07795	1	Signal, 
http://pfam.xfam.org/family/PF00665	scaffold7599:158373-162554	ID=maker-scaffold7599-exonerate_protein2genome-gene-0.83-mRNA-1;Parent=maker-scaffold7599-exonerate_protein2genome-gene-0.83;Dbxref=PFAM:PF00665,PFAM:PF03732,PFAM:PF07727,PFAM:PF14244,SUPERFAMILY:SSF53098,SUPERFAMILY:SSF56672,InterPro:IPR001584,InterPro:IPR005162,InterPro:IPR012337,InterPro:IPR013103,InterPro:IPR029472;Name=polx_35;Ontology_term=GO:0003676,GO:0015074;_AED=0.78;_QI=0|-1|0|1|-1|0|1|0|1393;_eAED=0.78;product=Retrovirus-related 	PF00665	2	Kinase, Protease, 
http://pfam.xfam.org/family/PF05695	scaffold11953:158762-159061	ID=maker-scaffold11953-exonerate_protein2genome-gene-0.21-mRNA-1;Parent=maker-scaffold11953-exonerate_protein2genome-gene-0.21;Dbxref=PFAM:PF05695,InterPro:IPR008543;Name=ycf2_2;Ontology_term=GO:0005524,GO:0009507;_AED=0.43;_QI=0|-1|0|1|-1|0|1|0|100;_eAED=0.51;product=Protein 	PF05695	1	Signal, 
http://pfam.xfam.org/family/PF05695	scaffold11953:159213-159428	ID=maker-scaffold11953-exonerate_protein2genome-gene-0.22-mRNA-1;Parent=maker-scaffold11953-exonerate_protein2genome-gene-0.22;Dbxref=PFAM:PF05695,InterPro:IPR008543;Name=ycf2-a;Ontology_term=GO:0005524,GO:0009507;_AED=0.46;_QI=0|-1|0|1|-1|0|1|0|71;_eAED=0.46;product=Protein 	PF05695	1	Signal, 
http://pfam.xfam.org/family/PF00168	scaffold11953:167064-172206	ID=maker-scaffold11953-exonerate_protein2genome-gene-0.64-mRNA-1;Parent=maker-scaffold11953-exonerate_protein2genome-gene-0.64;Dbxref=PFAM:PF00168,SUPERFAMILY:SSF49562,InterPro:IPR000008;Name=car5;Ontology_term=GO:0005515;_AED=0.27;_QI=0|0|0|1|0|0|3|0|173;_eAED=0.27;product=Protein 	PF00168	1	Kinase, 
http://pfam.xfam.org/family/PF12274	scaffold1723:167580-169071	ID=evm-scaffold1723-processed-gene-0.9-mRNA-1;Parent=evm-scaffold1723-processed-gene-0.9;Dbxref=PFAM:PF12274,InterPro:IPR022059;Name=at5g44330;_AED=0.00;_QI=209|1|1|1|0|0.33|3|130|140;_eAED=0.00;product=Protein 	PF12274	1	Signal, 
http://pfam.xfam.org/family/PF00069	scaffold7599:169292-170380	ID=maker-scaffold7599-exonerate_protein2genome-gene-0.82-mRNA-1;Parent=maker-scaffold7599-exonerate_protein2genome-gene-0.82;Dbxref=PFAM:PF00069,SUPERFAMILY:SSF56112,InterPro:IPR000719,InterPro:IPR011009;Name=at5g39030;Ontology_term=GO:0004672,GO:0005524,GO:0006468;_AED=0.47;_QI=0|-1|0|1|-1|0|1|0|362;_eAED=0.47;product=Probable 	PF00069	4	Apoptosis, Signal, Kinase, Embryo, 
http://pfam.xfam.org/family/PF02721	scaffold5217:171097-171592	ID=maker-scaffold5217-exonerate_protein2genome-gene-0.64-mRNA-1;Parent=maker-scaffold5217-exonerate_protein2genome-gene-0.64;Dbxref=PFAM:PF02721,SUPERFAMILY:SSF50249,InterPro:IPR003871,InterPro:IPR012340;Name=rfa1;_AED=0.48;_QI=0|0|0|1|0|0|2|0|119;_eAED=0.48;product=Replication 	PF02721	1	Signal, 
http://pfam.xfam.org/family/PF01694	scaffold12163:176734-182590	ID=evm-scaffold12163-processed-gene-0.114-mRNA-1;Parent=evm-scaffold12163-processed-gene-0.114;Dbxref=PFAM:PF01694,SUPERFAMILY:SSF144091,InterPro:IPR022764;Name=rbl11_2;Ontology_term=GO:0004252,GO:0016021;_AED=0.37;_QI=179|1|1|1|0.6|0.66|6|186|210;_eAED=0.37;product=Rhomboid-like 	PF01694	6	Apoptosis, Cell death, Signal, Kinase, Protease, Embryo, 
http://pfam.xfam.org/family/PF14111	scaffold1723:180524-181129	ID=maker-scaffold1723-exonerate_protein2genome-gene-0.31-mRNA-1;Parent=maker-scaffold1723-exonerate_protein2genome-gene-0.31;Dbxref=PFAM:PF14111,SUPERFAMILY:SSF57756,InterPro:IPR001878,InterPro:IPR025558;Name=gag_44;Ontology_term=GO:0003676,GO:0008270;_AED=0.40;_QI=0|-1|0|1|-1|0|1|0|201;_eAED=0.40;product=Gag 	PF14111	1	Signal, 
http://pfam.xfam.org/family/PF00078	scaffold1723:181656-183089	ID=maker-scaffold1723-exonerate_protein2genome-gene-0.30-mRNA-1;Parent=maker-scaffold1723-exonerate_protein2genome-gene-0.30;Dbxref=PFAM:PF00078,SUPERFAMILY:SSF56219,SUPERFAMILY:SSF56672,InterPro:IPR000477,InterPro:IPR005135;Name=ytx2_260;_AED=0.38;_QI=0|0|0|1|0|0|2|0|441;_eAED=0.38;product=Transposon 	PF00078	6	Defense, Resistance, Kinase, Protease, 
http://pfam.xfam.org/family/PF00078	scaffold5217:183517-185028	ID=maker-scaffold5217-exonerate_protein2genome-gene-0.65-mRNA-1;Parent=maker-scaffold5217-exonerate_protein2genome-gene-0.65;Dbxref=PFAM:PF00078,SUPERFAMILY:SSF56672,InterPro:IPR000477;Name=pol_253;_AED=0.40;_QI=0|-1|0|1|-1|0|1|0|504;_eAED=0.40;product=LINE-1 	PF00078	6	Defense, Resistance, Kinase, Protease, 
